packages/native/npm/darwin-arm64         |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/darwin-x64           |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-gnu      |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-musl     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-gnu        |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-musl       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-arm64     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-x64       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/linux-x64-gnu    |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})

> @verter/benchmark@0.0.1 bench:meta:ui D:\dev\personal\verter\packages\benchmark
> node --expose-gc --import tsx src/meta-ui-bench.ts "--" "--scenarios=repo_first_pass" "--hard-timeout-ms=60000"

Benchmarking 179 nuxt-ui components from edf9af6e03aeea31d1fb5b8a1b8f2aee7cbbcfa3.
[expected] 46/179 src/runtime/components/DashboardNavbar.vue baseline-ready outcome=success latency=2418.50ms
[expected] 47/179 src/runtime/components/DashboardPanel.vue baseline-ready outcome=success latency=2315.99ms
[expected] 48/179 src/runtime/components/DashboardResizeHandle.vue baseline-ready outcome=success latency=2280.53ms
[expected] 49/179 src/runtime/components/DashboardSearch.vue baseline-ready outcome=success latency=2616.23ms
[expected] 50/179 src/runtime/components/DashboardSearchButton.vue baseline-ready outcome=success latency=2369.94ms
[expected] 51/179 src/runtime/components/DashboardSidebar.vue baseline-ready outcome=success latency=2404.41ms
[expected] 52/179 src/runtime/components/DashboardSidebarCollapse.vue baseline-ready outcome=success latency=2337.96ms
[expected] 53/179 src/runtime/components/DashboardSidebarToggle.vue baseline-ready outcome=success latency=2347.15ms
[expected] 54/179 src/runtime/components/DashboardToolbar.vue baseline-ready outcome=success latency=2292.75ms
[expected] 55/179 src/runtime/components/Drawer.vue baseline-ready outcome=success latency=4433.37ms
[expected] 56/179 src/runtime/components/DropdownMenu.vue baseline-ready outcome=success latency=4349.77ms
[expected] 57/179 src/runtime/components/DropdownMenuContent.vue baseline-ready outcome=success latency=8945.87ms
[expected] 58/179 src/runtime/components/Editor.vue baseline-ready outcome=success latency=8607.39ms
[expected] 59/179 src/runtime/components/EditorDragHandle.vue baseline-ready outcome=success latency=2505.02ms
[expected] 60/179 src/runtime/components/EditorEmojiMenu.vue baseline-ready outcome=success latency=2081.98ms
[expected] 61/179 src/runtime/components/EditorMentionMenu.vue baseline-ready outcome=success latency=2321.91ms
[expected] 62/179 src/runtime/components/EditorSuggestionMenu.vue baseline-ready outcome=success latency=2224.27ms
[expected] 63/179 src/runtime/components/EditorToolbar.vue baseline-ready outcome=success latency=5382.96ms
[expected] 64/179 src/runtime/components/Empty.vue baseline-ready outcome=success latency=2420.32ms
[expected] 65/179 src/runtime/components/Error.vue baseline-ready outcome=success latency=2382.16ms
[expected] 66/179 src/runtime/components/FieldGroup.vue baseline-ready outcome=success latency=2314.20ms
[expected] 67/179 src/runtime/components/FileUpload.vue baseline-ready outcome=success latency=4372.53ms
[expected] 68/179 src/runtime/components/Footer.vue baseline-ready outcome=success latency=2318.20ms
[expected] 69/179 src/runtime/components/FooterColumns.vue baseline-ready outcome=success latency=2291.71ms
[expected] 70/179 src/runtime/components/Form.vue baseline-ready outcome=success latency=2171.52ms
[expected] 71/179 src/runtime/components/FormField.vue baseline-ready outcome=success latency=2285.28ms
[expected] 72/179 src/runtime/components/Header.vue baseline-ready outcome=success latency=2384.35ms
[expected] 73/179 src/runtime/components/Icon.vue baseline-ready outcome=success latency=2282.77ms
[expected] 74/179 src/runtime/components/Input.vue baseline-ready outcome=success latency=5913.56ms
[expected] 75/179 src/runtime/components/InputDate.vue baseline-ready outcome=success latency=7927.20ms
[expected] 76/179 src/runtime/components/InputMenu.vue baseline-ready outcome=success latency=12011.45ms
[expected] 77/179 src/runtime/components/InputNumber.vue baseline-ready outcome=success latency=5879.20ms
[expected] 78/179 src/runtime/components/InputTags.vue baseline-ready outcome=success latency=7363.29ms
[expected] 79/179 src/runtime/components/InputTime.vue baseline-ready outcome=success latency=7966.03ms
[expected] 80/179 src/runtime/components/Kbd.vue baseline-ready outcome=success latency=2293.28ms
[expected] 81/179 src/runtime/components/Link.vue baseline-ready outcome=success latency=2329.73ms
[expected] 82/179 src/runtime/components/LinkBase.vue baseline-ready outcome=success latency=727.64ms
[expected] 83/179 src/runtime/components/Listbox.vue baseline-ready outcome=success latency=4375.13ms
[expected] 84/179 src/runtime/components/locale/LocaleSelect.vue baseline-ready outcome=success latency=2431.60ms
[expected] 85/179 src/runtime/components/Main.vue baseline-ready outcome=success latency=2301.49ms
[expected] 86/179 src/runtime/components/Marquee.vue baseline-ready outcome=success latency=2313.20ms
[expected] 87/179 src/runtime/components/Modal.vue baseline-ready outcome=success latency=4509.68ms
[expected] 88/179 src/runtime/components/NavigationMenu.vue baseline-ready outcome=success latency=2404.83ms
[expected] 89/179 src/runtime/components/OverlayProvider.vue baseline-ready outcome=success latency=524.66ms
[expected] 90/179 src/runtime/components/Page.vue baseline-ready outcome=success latency=2289.09ms
[expected] 91/179 src/runtime/components/PageAnchors.vue baseline-ready outcome=success latency=2274.58ms
[expected] 92/179 src/runtime/components/PageAside.vue baseline-ready outcome=success latency=2262.30ms
[expected] 93/179 src/runtime/components/PageBody.vue baseline-ready outcome=success latency=2281.94ms
[expected] 94/179 src/runtime/components/PageCard.vue baseline-ready outcome=success latency=2334.08ms
[expected] 95/179 src/runtime/components/PageColumns.vue baseline-ready outcome=success latency=2276.96ms
[expected] 96/179 src/runtime/components/PageCTA.vue baseline-ready outcome=success latency=2415.47ms
[expected] 97/179 src/runtime/components/PageFeature.vue baseline-ready outcome=success latency=2407.55ms
[expected] 98/179 src/runtime/components/PageGrid.vue baseline-ready outcome=success latency=2280.81ms
