CAUGHT-BY-NAMED-CONTROL B2_first_cold_computes | expected [boundary_first_call_cold_clauses_fail_against_a_warm_first_trace] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::boundary_first_call_cold_clauses_fail_against_a_warm_first_trace] | Summary [   2.089s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL B3_degradation_pin | expected [cache_replay_assertion_fails_in_both_directions] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::cache_replay_assertion_fails_in_both_directions] | Summary [   2.026s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL B4_json_pin | expected [cache_replay_assertion_fails_in_both_directions] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::cache_replay_assertion_fails_in_both_directions] | Summary [   2.063s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL B12_no_value_carrier | expected [boundary_replay_drift_and_no_value_clauses_fail] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::boundary_replay_drift_and_no_value_clauses_fail] | Summary [   2.098s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL RC1_replay_class_drift | expected [boundary_replay_class_and_degradation_drift_fail] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::boundary_replay_class_and_degradation_drift_fail] | Summary [   2.228s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL RC2_replay_degr_drift | expected [boundary_replay_class_and_degradation_drift_fail] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::boundary_replay_class_and_degradation_drift_fail] | Summary [   2.038s] 47 tests run: 46 passed, 1 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL RC3_warm_from_cache | expected [boundary_warm_pair_clauses_fail_individually] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::boundary_warm_pair_clauses_fail_individually, u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::cache_replay_assertion_fails_in_both_directions] | Summary [   2.169s] 47 tests run: 45 passed, 2 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL RC4_warm_zero_cold | expected [boundary_warm_pair_clauses_fail_individually, cache_replay_assertion_fails_in_both_directions] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::boundary_warm_pair_clauses_fail_individually, u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::cache_replay_assertion_fails_in_both_directions] | Summary [   2.054s] 47 tests run: 45 passed, 2 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL RC5_cold_no_poison | expected [cache_replay_assertion_fails_in_both_directions, cell_value_clauses_each_reject_a_wrong_pin] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::cache_replay_assertion_fails_in_both_directions, u6_flow_shape_corpus_tests::u6_flow_expect_tests::matrix_outcome_controls::cell_value_clauses_each_reject_a_wrong_pin] | Summary [   2.085s] 47 tests run: 45 passed, 2 failed, 8664 skipped
CAUGHT-BY-NAMED-CONTROL RC6_cold_recompute | expected [boundary_cold_replay_requires_actual_cold_work] | failing [u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::boundary_cold_replay_requires_actual_cold_work, u6_flow_shape_corpus_tests::u6_flow_expect_tests::expectation_controls::cache_replay_assertion_fails_in_both_directions, u6_flow_shape_corpus_tests::u6_flow_expect_tests::matrix_outcome_controls::cell_value_clauses_each_reject_a_wrong_pin] | Summary [   1.993s] 47 tests run: 44 passed, 3 failed, 8664 skipped
